[00:00:00] 物理世界的CEO不敢赌
[01:19:39] 或者硬件里面的一个能力
[01:19:41] 或者在销售里面的一个能力
[01:19:43] 呃
[01:19:43] 我觉得都不是
[01:19:44] 于凯老师经常说你是他最难磕的一个用户
[01:19:48] 他觉得车企最终都应该用第三方
[01:19:50] 你怎么看他的观点
[01:19:52] 于凯同学跟我们关系都很好啊
[01:19:54] 这个我觉得他走在一条很有趣嗯
[01:19:59] 很有希望
[01:20:00] 但是也许很有挑战的道路
[01:20:03] 要看这个世界上
[01:20:04] 最终汽车机器人的公司是多还是少越多
[01:20:08] 我觉得语凯的道路会越广越少
[01:20:11] 越开道路会越痛苦
[01:20:12] 你倾向于认为是哪一种
[01:20:14] 我可能认为是越来越集中
[01:20:16] 如果从用户角度去看一个事情
[01:20:20] 因为我们是从一个企业角度看一个事情
[01:20:22] 用户角度只是我们可能几十个角度之一啊
[01:20:25] 所以从用户角度都会觉得需要有更多的车企
[01:20:29] 有更多的友商的产品的可供选择
[01:20:32] 有更多的不一样的东西
[01:20:34] 但是在这个世界上
[01:20:35] 汽车这个事情太复杂了
[01:20:37] 如果它是一个比较简单的事情的话
[01:20:39] 那我觉得它很快就会归一
[01:20:42] 我讲的归一就是苹果的手机
[01:20:44] 我觉得啊这个话说的不是很好听
[01:20:46] 就是在最近的数代里面
[01:20:48] 苹果手机上变化不太大
[01:20:49] 但照样能够很稳定
[01:20:51] 对啊
[01:20:52] 整个手机市场的变化
[01:20:53] 现在我买手机已经除非我手机坏了
[01:20:56] 否则我已经不是因为手机哪个能力提高
[01:20:59] 我一定要去买这样的一个情况
[01:21:01] 但汽车还远远没有到达这个点
[01:21:04] 甚至我认为将来可以一年1000亿的研发费用
[01:21:07] 在持续的做巨大的创新的价值都是有的
[01:21:10] 嗯所以在这样的一个领域里面呃
[01:21:13] 我觉得在过去的汽车公司
[01:21:15] 有很多公司实际上是不自研的
[01:21:17] 他说你去看这些汽车公司里面
[01:21:19] 他做了很多研发
[01:21:20] 他花了很多钱呢
[01:21:21] 他有很多人呢
[01:21:22] 我说但是他不做自研
[01:21:24] 他做集成嗯
[01:21:25] 所以你说他们做基层是不对
[01:21:29] 你去自研
[01:21:30] 实际上你会发现自研更不对
[01:21:31] 因为汽车太复杂了
[01:21:33] 你有很多很多人都要研发
[01:21:35] 所以你还不如说有些地方你没有基金的
[01:21:37] 你还不如找A合作到B合作
[01:21:40] 这个话对
[01:21:41] 但是换个角度就看
[01:21:42] 他到底是你汽车的战略还是你的战术
[01:21:45] 如果是战术
[01:21:46] 你不应该直言
[01:21:47] 如果是战略
[01:21:48] 你应该自愿回到一个终极的问题
[01:21:50] 刚才你一开始问的啊
[01:21:53] 这个比如说10年后
[01:21:54] 我们的汽车软件占不占汽车价值的50%
[01:21:58] 如果赞那一两家t o one
[01:22:00] 就可以帮助合作伙伴做到50%吗
[01:22:03] 他当然希望是这样
[01:22:04] 对
[01:22:05] 我觉得也许可以也许做不到
[01:22:08] 我们在汽车里面有一个叫做跨域融合
[01:22:12] 是把很多能力一起融合
[01:22:15] 有硬件
[01:22:15] 有软件
[01:22:16] 有制造
[01:22:17] 有设计
[01:22:18] 有服务
[01:22:19] 有运营
[01:22:20] 这些都是完全不同关联的
[01:22:24] 然后你把它融合在一起
[01:22:26] 有很多人说
[01:22:27] 那那这个怎么融合呢
[01:22:28] 比如说举例
[01:22:29] 为什么在汽车里面听到的很多几合一
[01:22:32] 他就是把不同的东西合在一起
[01:22:34] 为什么在软件里面多合1N合一
[01:22:37] 它可能把几十种能力合一合在一起的
[01:22:41] 整个这些体系都不一样
[01:22:44] 它不是哪一家公司可以做的到的
[01:22:48] 比如说你原来跟三家公司可以有合作呃
[01:22:52] 来一起提供一个total solution
[01:22:54] 很容易
[01:22:55] 但对不起
[01:22:56] 你要跟300家公司一起合作
[01:22:58] 提供一个个性化的思路
[01:23:00] 心理是非常痛苦的
[01:23:01] 小鹏的道路
[01:23:02] 跟于凯地平线的道路都有可能成功啊
[01:23:06] 我觉得今年不知道
[01:23:07] 我觉得于凯做地平线做的公司做得好
[01:23:09] 产品也做得好
[01:23:10] 这个我首先都非常认同
[01:23:12] 但是我还是想说的是
[01:23:14] 最终这条道路的战略的终局
[01:23:17] 或者说看得到的终局市场
[01:23:18] 你觉得汽车或者机器人最终会集中到多少家
[01:23:22] 这是一个多少多少多少年周期的事情
[01:23:24] 我觉得不同企业差别太大了
[01:23:26] 我这个继承人我先不说
[01:23:28] 我一直说
[01:23:29] 30年中国可能就五家有规模的汽车企业
[01:23:32] 不代表其他汽车企业会倒闭
[01:23:35] 但是我想说的
[01:23:36] 规模的下行
[01:23:37] 会导致越来越难进入到这种超高强度的竞争
[01:23:40] 你今天从血海里流游出来没有
[01:23:43] 我觉得都在游
[01:23:44] 我觉得出来了没没有
[01:23:47] 我也不觉得有谁出来的
[01:23:49] 在我的定义里面
[01:23:50] 这个首先你不要问我
[01:23:52] 我的定义是什么
[01:23:53] 我认为没有一家有出来
[01:23:55] 机器人挑战
[01:23:56] 只会是它的十倍对吧
[01:23:57] 我觉得机器人反而会稍好一些
[01:24:00] 因为机器人的同质内卷的可能性会低低
[01:24:05] 它的软件价值会很很大
[01:24:07] 这个大家都毋庸置疑
[01:24:08] 第二我不认为有一个非常好的开源
[01:24:11] 能够帮助一个基限公司做好软件
[01:24:14] 你的典型的一天是什么样的
[01:24:16] 我觉得跟很多企业家可能一样吧
[01:24:18] 嗯相相对来说比较晚一点
[01:24:21] 上班很晚才走
[01:24:23] 然后每天会有很多个决策项
[01:24:25] 大部分的期望非常快速
[01:24:27] 到处交流思考
[01:24:29] 这是典型的一天
[01:24:31] 所以你要看什么书
[01:24:32] 我不太看他具体的书
[01:24:35] 现在我的桌面上很多书我可能就翻一张就过了
[01:24:40] 呃
[01:24:40] 我觉得书里面总结的规律
[01:24:44] 在现在的组合里面变化太快
[01:24:46] 所以他很难组建
[01:24:47] 就是当他写好一本书印刷出来之后
[01:24:50] 这个世界可能又变化了10%
[01:24:52] 嗯在他的那本书的范围内假设啊
[01:24:55] 所以我觉得看书是应该
[01:24:57] 在一个更稳定的环境去看
[01:24:59] 怎么吸收知识
[01:25:00] 实际上吸收知识是最简单的
[01:25:02] 我觉得是在实践中间细说
[01:25:05] 以前我自己总结吸收知识
[01:25:06] 读万卷书
[01:25:07] 行万里路
[01:25:09] 遥万尺天
[01:25:10] 然后卷万次袖子以及实践
[01:25:14] 我觉得现在最重要就是你所看到的很多事情
[01:25:18] 如何在一个足够大的平台上去做好
[01:25:22] 你的快速循环的时间
[01:25:23] 在企业内部的组织是做PDCA
[01:25:26] 但是在AI体系里面要靠全自动的循环
[01:25:31] PDCA的C都不能做了啊
[01:25:33] 就是他应该尽量降低人的任何一个环节的消耗
[01:25:37] 过去年有没有什么后悔的决策
[01:25:41] 没有没有
[01:25:46] 这个世界上不需要去思考后悔的决策
[01:25:52] 因为犯错的太多了
[01:25:54] 犯错为什么要后悔呢
[01:25:56] 我们经常觉得说哦
[01:25:58] 原来这个时候的一个东西是错错了
[01:26:00] 那我们在一起思考
[01:26:01] 为什么现在错了
[01:26:02] 但不用后悔
